ID,PC,Opcode,Bitwidth,Execution_Count,Avg_Latency,MemLevel,BranchCount,Execution_Count_Cum,Avg_Latency_Cum,Opcode_Num,Opcode_Num_Norm,Bitwidth_Norm,Execution_Count_Norm,Avg_Latency_Norm,FSS_Score
1034,0x7ffff7fcf0d8,STORE,64.0,2.0,80.01999999999998,L1,0.0,44.0,58.18,4.0,1.0,0.4666666666666667,0.0004,0.07640897850848297,0.3858689112937874
855,0x7ffff7fcf0d8,STORE,64.0,16.0,56.0,L1,0.0,16.0,56.0,4.0,1.0,0.4666666666666667,0.006,0.05347578265975424,0.38153561233160527
1096,0x7ffff7fcf0da,STORE,64.0,54.0,58.67000000000001,L1,0.0,54.0,58.67,4.0,1.0,0.4666666666666667,0.0212,0.056024976369833585,0.3859729107591251
1264,0x7ffff7fcf0da,STORE,64.0,23.0,61.21434782608693,L1,0.0,77.0,59.43,4.0,1.0,0.4666666666666667,0.0088,0.05845420313931479,0.38348021745149535
819,0x7ffff7fcf0da,STORE,64.0,10.0,51.2,L1,0.0,10.0,51.2,4.0,1.0,0.4666666666666667,0.0036,0.04889296250680262,0.37978990729336737
1156,0x7ffff7fcf0df,STORE,64.0,63.0,59.43,L1,0.0,63.0,59.43,4.0,1.0,0.4666666666666667,0.0248,0.05675058956071759,0.3870543140568461
784,0x7ffff7fcf0e3,STORE,64.0,6.0,53.330000000000005,L1,0.0,6.0,53.33,4.0,1.0,0.4666666666666667,0.002,0.0509265889496749,0.3798983139040854
1052,0x7ffff7fcf0e4,ARITH,64.0,47.0,51.74,,0.0,47.0,51.74,3.0,0.75,0.4666666666666667,0.0184,0.049408529774009675,0.3211187991101691
849,0x7ffff7fcf0e4,ARITH,64.0,15.0,51.2,,0.0,15.0,51.2,3.0,0.75,0.4666666666666667,0.0056,0.04889296250680262,0.31778990729336737
1287,0x7ffff7fcf0eb,LOAD,32.0,79.0,54.68,L1,0.0,79.0,54.68,4.0,1.0,0.2,0.031200000000000002,0.052215507117692544,0.3208538767794231
