ID,PC,Opcode,Bitwidth,Execution_Count,Avg_Latency,MemLevel,BranchCount
92,0x7ffff7fdaa84,OTHER,32,112,54.57,N/A,0
93,0x7ffff7fdaa95,BRANCH,64,115,0.00,N/A,2
94,0x7ffff7fda9dd,ARITH,64,201,57.31,N/A,0
95,0x7ffff7fdaa58,ARITH,32,460,55.23,N/A,0
96,0x7ffff7fdaa60,ARITH,32,470,54.74,N/A,0
97,0x7ffff7fdaa6f,BRANCH,64,480,55.13,N/A,2
98,0x7ffff7fdaa58,ARITH,32,488,54.95,N/A,0
99,0x7ffff7fda9d5,LOAD,32,213,58.74,L2,0
100,0x7ffff7fdaa3e,LOGIC,32,15,44.80,N/A,0
101,0x7ffff7fdaa78,BRANCH,64,499,19.43,N/A,2
102,0x7ffff7fdaa5c,ARITH,64,509,55.76,N/A,0
103,0x7ffff7fdaa6f,BRANCH,64,518,55.17,N/A,2
104,0x7ffff7fda9b4,BRANCH,64,16,54.00,N/A,2
105,0x7ffff7fdaa6f,BRANCH,64,530,55.25,N/A,2
106,0x7ffff7fdaa93,ARITH,32,138,54.72,N/A,0
107,0x7ffff7fdaa5c,ARITH,64,549,55.66,N/A,0
108,0x7ffff7fdaa6f,BRANCH,64,558,55.28,N/A,2
109,0x7ffff7fda9e1,LOGIC,32,236,56.00,N/A,0
110,0x7ffff7fdaa22,BRANCH,64,17,0.00,N/A,2
111,0x7ffff7fdaa58,ARITH,32,568,54.87,N/A,0
112,0x7ffff7fdaa60,ARITH,32,578,54.75,N/A,0
113,0x7ffff7fdaa90,LOAD,32,150,61.01,L1,0
114,0x7ffff7fdaa5c,ARITH,64,595,55.72,N/A,0
115,0x7ffff7fdaa64,BRANCH,64,597,54.03,N/A,2
116,0x7ffff7fdaa71,LOAD,32,607,55.93,L1,0
117,0x7ffff7fdaa95,BRANCH,64,158,0.41,N/A,2
118,0x7ffff7fdaa64,BRANCH,64,623,54.09,N/A,2
119,0x7ffff7fda9d3,BRANCH,64,256,50.88,N/A,2
120,0x7ffff7fdaa58,ARITH,32,631,54.77,N/A,0
121,0x7ffff7fdaa64,BRANCH,64,640,54.05,N/A,2
122,0x7ffff7fdaa90,LOAD,32,167,61.13,L1,0
123,0x7ffff7fdaa5c,ARITH,64,658,55.44,N/A,0
124,0x7ffff7fda9e3,BRANCH,64,268,0.00,N/A,2
125,0x7ffff7fdaa90,LOAD,32,174,60.87,L1,0
126,0x7ffff7fdaa6f,BRANCH,64,675,55.13,N/A,2
127,0x7ffff7fdaa6f,BRANCH,64,683,55.14,N/A,2
128,0x7ffff7fdaa71,LOAD,32,690,56.07,L1,0
129,0x7ffff7fdaa6f,BRANCH,64,695,55.21,N/A,2
130,0x7ffff7fdaaa7,LOGIC,32,17,56.47,N/A,0
131,0x7ffff7fda9d5,LOAD,32,286,57.85,L2,0
132,0x7ffff7fda9dd,ARITH,64,300,56.96,N/A,0
133,0x7ffff7fdaa6a,LOAD,32,703,77.93,LLC,0
134,0x7ffff7fdaa75,LOGIC,32,712,54.83,N/A,0
135,0x7ffff7fdaa7e,OTHER,64,185,54.66,N/A,0
136,0x7ffff7fdaa6f,BRANCH,64,730,55.28,N/A,2
137,0x7ffff7fda9e1,LOGIC,32,310,55.33,N/A,0
138,0x7ffff7fda9d0,ARITH,32,324,55.31,N/A,0
139,0x7ffff7fdaa64,BRANCH,64,740,54.40,N/A,2
140,0x7ffff7fdaa6f,BRANCH,64,751,55.39,N/A,2
141,0x7ffff7fdaa78,BRANCH,64,760,19.37,N/A,2
142,0x7ffff7fdaa64,BRANCH,64,768,54.58,N/A,2
143,0x7ffff7fda9e1,LOGIC,32,336,55.43,N/A,0
144,0x7ffff7fda9d0,ARITH,32,350,55.22,N/A,0
145,0x7ffff7fdaa71,LOAD,32,778,56.31,L1,0
146,0x7ffff7fdaa78,BRANCH,64,788,19.33,N/A,2
147,0x7ffff7fdaa81,OTHER,64,204,55.53,N/A,0
148,0x7ffff7fdaa93,ARITH,32,224,55.43,N/A,0
149,0x7ffff7fda9e1,LOGIC,32,362,55.69,N/A,0
150,0x7ffff7fdaa71,LOAD,32,809,56.25,L1,0
151,0x7ffff7fdaa78,BRANCH,64,819,19.42,N/A,2
152,0x7ffff7fdaa64,BRANCH,64,827,54.21,N/A,2
153,0x7ffff7fdaa93,ARITH,32,232,55.59,N/A,0
154,0x7ffff7fda9da,OTHER,64,374,54.76,N/A,0
155,0x7ffff7fdaa78,BRANCH,64,844,19.60,N/A,2
156,0x7ffff7fdaa58,ARITH,32,853,54.96,N/A,0
157,0x7ffff7fdaa81,OTHER,64,221,55.46,N/A,0
158,0x7ffff7fdaa84,OTHER,32,223,54.82,N/A,0
159,0x7ffff7fdaa86,NOP,16,225,54.04,N/A,0
160,0x7ffff7fdaa7a,OTHER,64,226,55.36,N/A,0
161,0x7ffff7fdaa64,BRANCH,64,887,54.33,N/A,2
162,0x7ffff7fdaa93,ARITH,32,255,55.59,N/A,0
163,0x7ffff7fdaa5c,ARITH,64,905,55.48,N/A,0
164,0x7ffff7fda9da,OTHER,64,386,54.55,N/A,0
165,0x7ffff7fdaa60,ARITH,32,917,54.96,N/A,0
166,0x7ffff7fdaa6a,LOAD,32,928,75.59,LLC,0
167,0x7ffff7fdaa71,LOAD,32,936,56.31,L1,0
168,0x7ffff7fdaa5c,ARITH,64,944,55.63,N/A,0
169,0x7ffff7fda9e1,LOGIC,32,396,55.60,N/A,0
170,0x7ffff7fdaa71,LOAD,32,952,56.27,L1,0
171,0x7ffff7fdaa78,BRANCH,64,962,19.43,N/A,2
172,0x7ffff7fdaa60,ARITH,32,971,54.97,N/A,0
173,0x7ffff7fdaa71,LOAD,32,980,56.29,L1,0
174,0x7ffff7fdaa3b,LOAD,32,31,56.77,L2,0
175,0x7ffff7fdaa75,LOGIC,32,989,54.52,N/A,0
176,0x7ffff7fdaa58,ARITH,32,999,54.93,N/A,0
177,0x7ffff7fdaa81,OTHER,64,258,55.81,N/A,0
178,0x7ffff7fdaa93,ARITH,32,288,54.67,N/A,0
179,0x7ffff7fda9e1,LOGIC,32,418,55.96,N/A,0
180,0x7ffff7fdaa71,LOAD,32,1022,56.20,L1,0
181,0x7ffff7fdaa78,BRANCH,64,1032,19.44,N/A,2
182,0x7ffff7fdaa60,ARITH,32,1041,54.78,N/A,0
183,0x7ffff7fdaa71,LOAD,32,1050,56.17,L1,0
184,0x7ffff7fda9da,OTHER,64,430,54.85,N/A,0
185,0x7ffff7fdaa5c,ARITH,64,1054,55.65,N/A,0
186,0x7ffff7fdaa81,OTHER,64,273,55.44,N/A,0
187,0x7ffff7fdaa71,LOAD,32,1074,56.01,L1,0
188,0x7ffff7fdaa5c,ARITH,64,1082,55.66,N/A,0
189,0x7ffff7fda9d3,BRANCH,64,441,51.30,N/A,2
190,0x7ffff7fdaa02,BRANCH,64,32,56.00,N/A,2
191,0x7ffff7fdaa58,ARITH,32,1093,54.87,N/A,0
192,0x7ffff7fdaa60,ARITH,32,1103,54.92,N/A,0
193,0x7ffff7fdaa90,LOAD,32,312,61.23,L1,0
194,0x7ffff7fdaa5c,ARITH,64,1120,55.51,N/A,0
195,0x7ffff7fdaa17,OTHER,64,33,55.27,N/A,0
196,0x7ffff7fdaa64,BRANCH,64,1127,54.23,N/A,2
197,0x7ffff7fdaa6f,BRANCH,64,1138,55.23,N/A,2
198,0x7ffff7fdaa78,BRANCH,64,1147,19.39,N/A,2
199,0x7ffff7fdaa84,OTHER,32,297,54.09,N/A,0
200,0x7ffff7fdaa00,LOGIC,32,34,52.71,N/A,0
201,0x7ffff7fdaa78,BRANCH,64,1163,19.51,N/A,2
202,0x7ffff7fdaa5c,ARITH,64,1173,55.38,N/A,0
203,0x7ffff7fdaa86,NOP,16,303,54.50,N/A,0
204,0x7ffff7fdaa58,ARITH,32,1190,54.91,N/A,0
205,0x7ffff7fdaa71,LOAD,32,1191,56.02,L1,0
206,0x7ffff7fdaa58,ARITH,32,1200,54.99,N/A,0
207,0x7ffff7fdaa81,OTHER,64,310,55.23,N/A,0
208,0x7ffff7fdaa93,ARITH,32,340,54.87,N/A,0
209,0x7ffff7fda9da,OTHER,64,487,55.26,N/A,0
210,0x7ffff7fdaa6a,LOAD,32,1229,73.56,LLC,0
211,0x7ffff7fdaa71,LOAD,32,1239,55.97,L1,0
212,0x7ffff7fdaa5c,ARITH,64,1247,55.43,N/A,0
213,0x7ffff7fdaa86,NOP,16,323,54.59,N/A,0
214,0x7ffff7fda9d3,BRANCH,64,498,50.96,N/A,2
215,0x7ffff7fda9da,OTHER,64,513,55.20,N/A,0
216,0x7ffff7fdaa58,ARITH,32,1262,54.97,N/A,0
217,0x7ffff7fdaa64,BRANCH,64,1271,54.28,N/A,2
218,0x7ffff7fdaa71,LOAD,32,1281,56.03,L1,0
219,0x7ffff7fdaa5c,ARITH,64,1289,55.44,N/A,0
220,0x7ffff7fda9d3,BRANCH,64,524,50.87,N/A,2
221,0x7ffff7fda9da,OTHER,64,539,55.57,N/A,0
222,0x7ffff7fda9e1,LOGIC,32,553,55.96,N/A,0
223,0x7ffff7fdaa71,LOAD,32,1302,56.04,L1,0
224,0x7ffff7fdaa78,BRANCH,64,1312,19.44,N/A,2
225,0x7ffff7fdaa60,ARITH,32,1321,54.70,N/A,0
226,0x7ffff7fdaa71,LOAD,32,1330,56.06,L1,0
227,0x7ffff7fdaa3b,LOAD,32,42,57.14,L2,0
228,0x7ffff7fdaa75,LOGIC,32,1339,54.13,N/A,0
229,0x7ffff7fdaa58,ARITH,32,1349,55.01,N/A,0
230,0x7ffff7fdaa81,OTHER,64,348,55.54,N/A,0
231,0x7ffff7fdaa93,ARITH,32,379,54.80,N/A,0
232,0x7ffff7fdaa6a,LOAD,32,1369,73.35,LLC,0
233,0x7ffff7fdaa71,LOAD,32,1379,56.13,L1,0
234,0x7ffff7fdaa5c,ARITH,64,1387,55.42,N/A,0
235,0x7ffff7fdaa86,NOP,16,359,54.64,N/A,0
236,0x7ffff7fda9d3,BRANCH,64,572,51.13,N/A,2
237,0x7ffff7fdaa50,LOGIC,32,41,48.39,N/A,0
238,0x7ffff7fdaa6f,BRANCH,64,1410,55.38,N/A,2
239,0x7ffff7fdaa75,LOGIC,32,1420,54.15,N/A,0
240,0x7ffff7fdaa81,OTHER,64,367,55.80,N/A,0
241,0x7ffff7fda9c5,BRANCH,64,42,57.14,N/A,2
242,0x7ffff7fdaa64,BRANCH,64,1437,54.38,N/A,2
243,0x7ffff7fdaa71,LOAD,32,1447,56.11,L1,0
244,0x7ffff7fdaa7a,OTHER,64,374,55.19,N/A,0
245,0x7ffff7fdaa6a,LOAD,32,1465,73.26,LLC,0
246,0x7ffff7fda9dd,ARITH,64,596,56.38,N/A,0
247,0x7ffff7fdaa84,OTHER,32,380,54.48,N/A,0
248,0x7ffff7fdaa6f,BRANCH,64,1485,55.51,N/A,2
249,0x7ffff7fdaa78,BRANCH,64,1492,19.54,N/A,2
250,0x7ffff7fdaa81,OTHER,64,386,55.88,N/A,0
251,0x7ffff7fdaa0b,OTHER,64,44,55.27,N/A,0
252,0x7ffff7fdaa64,BRANCH,64,1513,54.29,N/A,2
253,0x7ffff7fdaa6f,BRANCH,64,1524,55.52,N/A,2
254,0x7ffff7fdaa58,ARITH,32,1532,55.00,N/A,0
255,0x7ffff7fda9e5,OTHER,64,44,56.00,N/A,0
256,0x7ffff7fdaa5c,ARITH,64,1541,55.44,N/A,0
257,0x7ffff7fdaa6a,LOAD,32,1551,73.16,LLC,0
258,0x7ffff7fdaa93,ARITH,32,429,54.83,N/A,0
259,0x7ffff7fdaa60,ARITH,32,1568,54.76,N/A,0
260,0x7ffff7fda9d0,ARITH,32,615,95.32,N/A,0
261,0x7ffff7fdaa5c,ARITH,64,1578,55.36,N/A,0
262,0x7ffff7fdaa64,BRANCH,64,1588,54.37,N/A,2
263,0x7ffff7fdaa75,LOGIC,32,1597,53.98,N/A,0
264,0x7ffff7fdaa7e,OTHER,64,413,54.16,N/A,0
265,0x7ffff7fda9e1,LOGIC,32,627,55.89,N/A,0
266,0x7ffff7fda9d0,ARITH,32,641,93.70,N/A,0
267,0x7ffff7fdaa5c,ARITH,64,1616,55.29,N/A,0
268,0x7ffff7fdaa64,BRANCH,64,1626,54.34,N/A,2
269,0x7ffff7fdaa71,LOAD,32,1636,56.10,L1,0
270,0x7ffff7fdaa5c,ARITH,64,1644,55.32,N/A,0
271,0x7ffff7fda9e1,LOGIC,32,653,55.82,N/A,0
272,0x7ffff7fdaa71,LOAD,32,1652,56.12,L1,0
273,0x7ffff7fdaa78,BRANCH,64,1662,19.56,N/A,2
274,0x7ffff7fdaa60,ARITH,32,1671,54.67,N/A,0
275,0x7ffff7fdaa71,LOAD,32,1680,56.11,L1,0
276,0x7ffff7fdaa58,ARITH,32,1681,54.82,N/A,0
277,0x7ffff7fdaa64,BRANCH,64,1690,54.46,N/A,2
278,0x7ffff7fdaa90,LOAD,32,465,60.90,L1,0
279,0x7ffff7fdaa5c,ARITH,64,1708,55.34,N/A,0
280,0x7ffff7fda9e3,BRANCH,64,662,0.00,N/A,2
281,0x7ffff7fdaa6a,LOAD,32,1720,72.91,LLC,0
282,0x7ffff7fdaa90,LOAD,32,473,60.75,L1,0
283,0x7ffff7fdaa58,ARITH,32,1739,54.89,N/A,0
284,0x7ffff7fdaa6a,LOAD,32,1748,72.93,LLC,0
285,0x7ffff7fda9dd,ARITH,64,674,56.40,N/A,0
286,0x7ffff7fdaa60,ARITH,32,1754,54.73,N/A,0
287,0x7ffff7fdaa84,OTHER,32,453,54.75,N/A,0
288,0x7ffff7fdaa75,LOGIC,32,1774,54.02,N/A,0
289,0x7ffff7fdaa60,ARITH,32,1782,54.73,N/A,0
290,0x7ffff7fda9d5,LOAD,32,686,58.73,L2,0
291,0x7ffff7fdaa75,LOGIC,32,1790,54.10,N/A,0
