ID,PC,Opcode,Bitwidth,Execution_Count,Avg_Latency,MemLevel,BranchCount,Execution_Count_Cum,Avg_Latency_Cum
137,0x55555555516e,ARITH,32.0,3.0,21.33,,0.0,3.0,21.33
138,0x55555555516e,ARITH,32.0,125.0,56.832080000000005,,0.0,128.0,56.0
139,0x55555555516e,ARITH,32.0,125.0,54.78559999999999,,0.0,253.0,55.4
140,0x55555555516e,ARITH,32.0,125.0,55.55120000000002,,0.0,378.0,55.45
141,0x55555555516e,ARITH,32.0,125.0,55.28903999999998,,0.0,503.0,55.41
142,0x55555555516e,ARITH,32.0,125.0,54.25448000000001,,0.0,628.0,55.18
143,0x55555555516e,ARITH,32.0,125.0,223.2496,,0.0,753.0,83.08
144,0x55555555516e,ARITH,32.0,125.0,50.69936000000004,,0.0,878.0,78.47
145,0x55555555516e,ARITH,32.0,125.0,57.60759999999998,,0.0,1003.0,75.87
146,0x55555555516e,ARITH,32.0,125.0,55.566,,0.0,1128.0,73.62
147,0x55555555516e,ARITH,32.0,125.0,51.466959999999965,,0.0,1253.0,71.41
148,0x55555555516e,ARITH,32.0,125.0,59.39383999999997,,0.0,1378.0,70.32
149,0x55555555516e,ARITH,32.0,125.0,53.72688,,0.0,1503.0,68.94
150,0x55555555516e,ARITH,32.0,125.0,55.004320000000064,,0.0,1628.0,67.87
151,0x55555555516e,ARITH,32.0,125.0,55.10815999999991,,0.0,1753.0,66.96
152,0x55555555516e,ARITH,32.0,125.0,57.49488,,0.0,1878.0,66.33
153,0x55555555516e,ARITH,32.0,125.0,53.83128000000003,,0.0,2003.0,65.55
154,0x55555555516e,ARITH,32.0,125.0,56.527280000000026,,0.0,2128.0,65.02
155,0x55555555516e,ARITH,32.0,125.0,55.10680000000005,,0.0,2253.0,64.47
156,0x55555555516e,ARITH,32.0,125.0,54.958,,0.0,2378.0,63.97
157,0x55555555516e,ARITH,32.0,125.0,57.36208000000008,,0.0,2503.0,63.64
158,0x55555555516e,ARITH,32.0,125.0,54.389439999999944,,0.0,2628.0,63.2
159,0x55555555516e,ARITH,32.0,125.0,55.71183999999985,,0.0,2753.0,62.86
160,0x55555555516e,ARITH,32.0,125.0,57.334239999999994,,0.0,2878.0,62.62
161,0x55555555516e,ARITH,32.0,125.0,54.2116000000001,,0.0,3003.0,62.27
162,0x55555555516e,ARITH,32.0,125.0,56.514479999999985,,0.0,3128.0,62.04
163,0x55555555516e,ARITH,32.0,125.0,53.191840000000084,,0.0,3253.0,61.7
164,0x55555555516e,ARITH,32.0,125.0,55.484479999999984,,0.0,3378.0,61.47
165,0x55555555516e,ARITH,32.0,125.0,53.90352000000002,,0.0,3503.0,61.2
166,0x55555555516e,ARITH,32.0,125.0,53.944,,0.0,3628.0,60.95
167,0x55555555516e,ARITH,32.0,125.0,54.344719999999974,,0.0,3753.0,60.73
168,0x55555555516e,ARITH,32.0,125.0,55.455920000000155,,0.0,3878.0,60.56
169,0x55555555516e,ARITH,32.0,125.0,55.115919999999925,,0.0,4003.0,60.39
170,0x55555555516e,ARITH,32.0,125.0,53.78519999999972,,0.0,4128.0,60.19
171,0x55555555516e,ARITH,32.0,125.0,55.08640000000014,,0.0,4253.0,60.04
172,0x55555555516e,ARITH,32.0,125.0,54.78639999999991,,0.0,4378.0,59.89
173,0x55555555516e,ARITH,32.0,125.0,53.40568000000017,,0.0,4503.0,59.71
174,0x55555555516e,ARITH,32.0,125.0,56.007600000000096,,0.0,4628.0,59.61
175,0x55555555516e,ARITH,32.0,125.0,55.04712000000011,,0.0,4753.0,59.49
176,0x55555555516e,ARITH,32.0,125.0,56.758319999999834,,0.0,4878.0,59.42
177,0x55555555516e,ARITH,32.0,125.0,56.21808000000007,,0.0,5003.0,59.34
178,0x55555555516e,ARITH,32.0,125.0,50.72495999999996,,0.0,5128.0,59.13
179,0x55555555516e,ARITH,32.0,125.0,56.188319999999834,,0.0,5253.0,59.06
180,0x55555555516e,ARITH,32.0,125.0,55.18783999999985,,0.0,5378.0,58.97
181,0x55555555516e,ARITH,32.0,125.0,55.448080000000076,,0.0,5503.0,58.89
182,0x55555555516e,ARITH,32.0,125.0,52.58664000000013,,0.0,5628.0,58.75
183,0x55555555516e,ARITH,32.0,125.0,53.22712000000011,,0.0,5753.0,58.63
184,0x55555555516e,ARITH,32.0,125.0,53.92760000000009,,0.0,5878.0,58.53
185,0x55555555516e,ARITH,32.0,125.0,53.24735999999987,,0.0,6003.0,58.42
186,0x55555555516e,ARITH,32.0,125.0,53.517600000000094,,0.0,6128.0,58.32
187,0x55555555516e,ARITH,32.0,125.0,55.31855999999959,,0.0,6253.0,58.26
188,0x55555555516e,ARITH,32.0,125.0,56.72928000000026,,0.0,6378.0,58.23
189,0x55555555516e,ARITH,32.0,125.0,55.62879999999981,,0.0,6503.0,58.18
190,0x55555555516e,ARITH,32.0,125.0,54.998560000000055,,0.0,6628.0,58.12
191,0x55555555516e,ARITH,32.0,125.0,58.12,,0.0,6753.0,58.12
192,0x55555555516e,ARITH,32.0,125.0,56.46928000000026,,0.0,6878.0,58.09
193,0x55555555516e,ARITH,32.0,125.0,55.28879999999982,,0.0,7003.0,58.04
