PC,OCC,RESULT
0x555555556c9f,10784916,SDC
0x555555557515,51508672,CORRECT
0x5555555574c7,36422238,CRASH
0x555555556fda,39668746,CORRECT
0x5555555574b7,54188001,CORRECT
0x555555557501,76902688,CORRECT
0x555555556fa7,4320533,CRASH
0x555555557071,172015,CRASH
0x555555557126,8152836,NOINJECT
0x555555557521,6908534,CRASH
0x555555556fc2,36677424,CRASH
0x5555555574b7,15054830,CRASH
0x555555557661,4529915,CORRECT
0x555555556ff5,77570097,CORRECT
0x555555556c52,14547160,CORRECT
0x555555556c15,6255384,SDC
0x5555555574ef,7550979,CORRECT
0x5555555574f4,70365077,CORRECT
0x555555556c56,8390591,NOINJECT
0x555555556bd9,14343880,CRASH
0x5555555574cd,2843498,CRASH
0x5555555574e5,37392697,CORRECT
0x555555556c11,24012983,CORRECT
0x555555556cc5,23053614,CORRECT
0x55555555bcb3,79274,CRASH
0x555555556fd1,71644030,CORRECT
0x555555557118,7707571,CORRECT
0x555555556c86,22724801,CORRECT
0x555555557045,9277060,NOINJECT
0x55555555717a,6732852,NOINJECT
0x555555556ce5,26727264,CORRECT
0x555555557001,42817205,CORRECT
0x55555555b7c8,130096,NOINJECT
0x555555556c86,25547602,CORRECT
0x555555557511,68554084,CORRECT
0x555555556fb7,16444518,CORRECT
0x555555556c30,19884020,SDC
0x555555556c20,18729073,CORRECT
0x555555556bf1,22978412,CORRECT
0x555555557505,75043934,CORRECT
0x555555557001,55967705,CORRECT
0x5555555574c9,31520021,CRASH
0x7fffe4104367,74668,NOINJECT
0x555555556fbd,42798098,CORRECT
0x5555555574c7,69621848,NOINJECT
0x5555555574bb,28333416,SDC
0x555555556fca,61199743,CRASH
0x555555556fa4,66616496,CRASH
0x55555555751d,49923001,CORRECT
0x5555555574d2,10300531,CRASH
0x555555556c7c,23471018,CRASH
0x555555556fa4,37774466,CRASH
0x55555555700d,47235290,CORRECT
0x5555555574b7,42616793,CRASH
0x555555557519,77869349,CORRECT
0x5555555574e5,12187115,CORRECT
0x555555556cc9,27958662,CORRECT
0x55555555b801,185338,CRASH
0x555555557509,73007095,CORRECT
0x555555556c39,3909398,CORRECT
0x55555555700d,23207950,CORRECT
0x555555556fca,20852897,CORRECT
0x555555556fa4,29604537,CRASH
0x555555556c05,20574301,SDC
0x555555556fd5,59488997,CORRECT
0x555555557697,5570353,SDC
0x555555556ff5,77992497,CORRECT
0x555555557581,2056434,CORRECT
0x555555556fe9,58019630,CORRECT
0x555555556c4e,10601484,SDC
0x555555556c82,24944857,CRASH
0x555555556cc5,3015463,SDC
0x5555555574fd,41762959,CORRECT
0x5555555574fd,75920087,CORRECT
0x555555557567,9797507,NOINJECT
0x555555556cc9,14863969,CORRECT
0x555555556ff9,67310029,CORRECT
0x555555556ca6,10655002,SDC
0x555555556bdd,20006293,CRASH
0x555555557505,70297031,CORRECT
0x555555556cdd,26906198,CORRECT
0x555555556fe9,52353868,CORRECT
0x555555556c86,4335075,CORRECT
0x555555556cfd,14419101,CORRECT
0x555555556c11,7004741,CORRECT
0x555555557612,8013064,NOINJECT
0x555555556fc2,33126670,CRASH
0x5555555574f4,67573982,CORRECT
0x555555557079,7051208,CRASH
0x5555555575bd,4165117,CORRECT
0x555555556fdf,64450829,CORRECT
0x555555556fd1,16969437,CORRECT
0x555555557623,4726900,CORRECT
0x555555556c9f,23919595,SDC
0x555555556fc6,15529700,CRASH
0x555555556ff9,42918504,CORRECT
0x555555556fca,3844056,SDC
0x555555556fe4,60878661,CORRECT
0x555555556fc2,18831547,CRASH
0x5555555574da,54276882,CRASH
0x5555555575a6,2014939,CRASH
0x555555556fa7,32373963,CRASH
0x555555556fb7,35395717,CRASH
0x555555556fa4,33204283,CRASH
0x555555556fe4,27611101,CORRECT
0x5555555574be,6325453,CRASH
0x555555556fc6,60558579,CRASH
0x55555555749f,6336906,SDC
0x555555556fd1,75762941,CORRECT
0x555555556cb9,11077588,CORRECT
0x555555556fd5,60186271,CORRECT
0x5555555574be,11567442,CORRECT
0x555555556ffd,7084492,CORRECT
0x555555557601,9769164,SDC
0x555555556c54,2108023,SDC
0x55555555753f,7100079,NOINJECT
0x555555557536,2759557,CRASH
0x5555555574c7,83343509,NOINJECT
0x5555555575a6,916066,CRASH
0x5555555574c4,1154378,CORRECT
0x5555555570cb,3251142,SDC
0x5555555574ef,27303493,CORRECT
0x555555556bd5,24087388,SDC
0x5555555570d8,6207577,CRASH
0x555555556ce1,23267768,CORRECT
0x555555556cc9,31317445,CORRECT
0x555555556fae,53827209,CRASH
0x5555555574be,30252616,CRASH
0x555555556fd1,64649459,CORRECT
0x5555555574e1,23117420,SDC
0x5555555574dd,23859493,CORRECT
0x5555555574fd,38605612,CORRECT
0x5555555575df,2393695,CORRECT
0x555555556c46,25108404,CRASH
0x5555555574b7,25599739,CRASH
0x5555555574b2,24456411,NOINJECT
0x5555555570f0,9773574,NOINJECT
0x555555556fe4,56066284,CORRECT
0x555555556d01,27890196,CORRECT
0x55555555fb13,172345,CRASH
0x555555556fc6,5081359,CORRECT
0x555555556c56,26164488,NOINJECT
0x555555556cb9,4213914,CORRECT
0x555555556c05,22909901,CRASH
0x555555557659,4297514,SDC
0x555555556fe4,8395384,SDC
0x555555556ce5,6421713,CORRECT
0x55555555700d,47284529,CORRECT
0x555555557521,14309225,NOINJECT
0x555555556fb4,36290329,CORRECT
0x555555556c11,1550232,CORRECT
0x555555557515,48501365,CORRECT
0x555555557519,50345509,CORRECT
0x55555555bb35,19985,CORRECT
0x555555556c98,9523449,CORRECT
0x555555556c20,13135041,CORRECT
0x555555556bd0,11879349,CORRECT
0x555555556fb9,17796847,CRASH
0x555555556ce5,25360542,CORRECT
0x555555557519,63953788,CORRECT
0x555555556c46,12295783,CORRECT
0x55555555719a,6127145,SDC
0x555555556f8c,5613080,CORRECT
0x555555556c30,4263318,CORRECT
0x555555557005,44246,CORRECT
0x5555555574e1,72802232,CORRECT
0x5555555574e1,26280741,CORRECT
0x5555555574c9,55794172,CRASH
0x5555555574be,38221238,CRASH
0x555555556fbd,81395788,CRASH
0x555555556fae,40552655,CRASH
0x55555555759e,1915991,CORRECT
0x5555555574bb,71112481,CORRECT
0x5555555574cd,16819747,CRASH
0x5555555574cd,69891164,CRASH
0x555555556bf1,10197258,CORRECT
0x555555556c11,3259847,CORRECT
0x5555555574d6,56910852,CRASH
0x55555555751d,62427373,CORRECT
0x5555555574c4,46773188,CORRECT
0x55555555753f,2013978,NOINJECT
0x5555555576a0,1581679,NOINJECT
0x555555557505,17434600,CORRECT
0x555555556cdd,17702442,CORRECT
0x5555555571d0,180304,CORRECT
0x555555556fbd,38800676,CORRECT
0x555555556fa7,50819982,CRASH
0x5555555574bb,43494407,CORRECT
0x5555555570d8,7598805,SDC
0x555555556fb7,75914397,NOINJECT
0x555555556bd0,8856021,CORRECT
0x555555556ced,22957905,NOINJECT
0x5555555574b0,19615163,SDC
0x5555555574ea,58567604,CORRECT
0x5555555574f9,3506037,CORRECT
0x55555555765d,2332337,CORRECT
0x55555555755b,5909578,NOINJECT
0x555555556c8a,21822639,SDC
0x555555557005,13159537,CORRECT
0x5555555575db,5014366,SDC
0x55555555762c,6048064,CORRECT
0x555555556fdf,38620796,CORRECT
0x555555556d0a,10088943,CRASH
0x5555555574be,29673812,CRASH
0x555555556fa7,49007729,CRASH
0x555555557009,64330830,CORRECT
0x555555556fca,46443438,CRASH
0x555555557599,5516583,SDC
0x5555555574da,44059311,CRASH
0x555555557519,81575078,CORRECT
0x5555555574c7,30751213,CRASH
0x5555555574ea,6000160,CORRECT
0x555555556c1b,18134622,CRASH
0x5555555574d6,70996501,CORRECT
0x5555555574bb,63685328,SDC
0x5555555570ec,4780112,CORRECT
0x555555556c35,23254641,CORRECT
0x555555557009,35241593,CORRECT
0x555555556cb9,11077242,CORRECT
0x555555557501,4802937,CORRECT
0x555555556ff1,16625150,CORRECT
0x55555555b808,93069,CRASH
0x55555555719e,8500827,NOINJECT
0x5555555575a6,2373015,SDC
0x555555556fb7,10988998,CRASH
0x555555556fc2,78332145,CORRECT
0x5555555574bb,58375970,CORRECT
0x555555556fa0,4851554,CORRECT
0x5555555574f4,38683331,CORRECT
0x5555555574c4,55577986,CORRECT
0x555555557661,1880626,CORRECT
0x555555556fc2,56864567,CORRECT
0x5555555574ea,15257214,CORRECT
0x555555556cd9,18467073,CORRECT
0x555555556fca,59467651,SDC
0x555555556fb9,362261,CRASH
0x5555555574b7,52064568,CORRECT
0x555555556fd5,14599938,CORRECT
0x555555556fc2,71543804,CRASH
