PC,OCC,RESULT
0x55555556128a,2817,CORRECT
0x7fffe3dbe8d5,2779,NOINJECT
0x555555562486,3800,CORRECT
0x7fffe4003512,339,NOINJECT
0x7fffe3dbd88d,1664,NOINJECT
0x7fffe3dbd749,800,NOINJECT
0x55555555d54e,3496,CORRECT
0x55555555cbc6,82,CORRECT
0x55555555d537,1289,CORRECT
0x7ffff7fce525,4545,CORRECT
0x5555555590c2,1619,CORRECT
0x55555555d276,330,CORRECT
0x55555555c12d,317,CORRECT
0x55555555d2b0,1197,NOINJECT
0x555555559352,3050,CRASH
0x555555562299,683,CORRECT
0x5555555605fb,326,NOINJECT
0x7fffe3dc0df7,611,NOINJECT
0x55555555c175,734,CORRECT
0x7fffe3ffdc33,405,NOINJECT
0x7fffe3dc0e00,1263,NOINJECT
0x55555555cdd0,4012,CRASH
0x55555555d287,191,CORRECT
0x555555561ea0,658,CORRECT
0x555555561b5f,375,CORRECT
0x5555555590fc,950,CORRECT
0x555555561229,473,CORRECT
0x7ffff7fdaa60,2468,CORRECT
0x55555555c740,403,CRASH
0x55555555ba22,1314,CORRECT
0x55555555db10,64,CRASH
0x555555558d52,1670,CORRECT
0x555555561f73,2045,CORRECT
0x55555555d22d,1312,CRASH
0x555555560865,541,CORRECT
0x7fffe40035ec,675,NOINJECT
0x7fffe3ebd084,3286,NOINJECT
0x55555555bcf3,1723,CORRECT
0x5555555613f2,404,CORRECT
0x5555555623a5,134,CORRECT
0x555555561624,2125,NOINJECT
0x555555561341,78,CORRECT
0x5555555601d8,1071,CORRECT
0x555555561624,4186,NOINJECT
0x555555560ee2,141,CORRECT
0x555555559f21,845,CORRECT
0x55555555f757,2122,CORRECT
0x7fffe3fa5f86,1363,NOINJECT
0x555555559990,210,CORRECT
0x55555555ba45,853,NOINJECT
0x55555555a19f,1233,CORRECT
0x55555556226d,2988,CORRECT
0x555555561420,2362,CORRECT
0x7fffe3dbff47,1545,NOINJECT
0x555555559524,906,NOINJECT
0x55555555ac56,530,CORRECT
0x555555561794,895,CORRECT
0x55555555fb96,882,NOINJECT
0x55555555a0c2,142,CORRECT
0x55555556040c,37,CORRECT
0x5555555619a0,1300,CORRECT
0x55555555c9e6,91,CORRECT
0x55555555bbfb,3142,CORRECT
0x55555555b910,4085,CRASH
0x55555556239f,2028,CORRECT
0x7fffe3dc0d1a,87,NOINJECT
0x55555555bc6a,3232,CORRECT
0x55555555cb83,1352,CORRECT
0x555555558f1e,553,CORRECT
0x555555560ec2,243,CORRECT
0x55555555ad6e,614,NOINJECT
0x555555558f09,1643,CORRECT
0x55555555c190,3854,CORRECT
0x5555555590f3,737,CORRECT
0x555555561c79,1535,CORRECT
0x555555561d4f,1131,CORRECT
0x7fffe3fa5fe3,1755,NOINJECT
0x7ffff7fce495,768,NOINJECT
0x555555562498,625,CORRECT
0x55555556162d,85,CORRECT
0x55555555c863,4357,NOINJECT
0x7ffff7fcf23a,79,CORRECT
0x555555562066,2369,CORRECT
0x55555555c69b,361,NOINJECT
0x555555562061,118,CORRECT
0x55555555cfb0,2468,CORRECT
0x55555555a1eb,640,CORRECT
0x55555556221e,3536,CORRECT
0x555555561c68,1279,CORRECT
0x55555555cc0e,891,CORRECT
0x7fffe3dbe6fb,1539,NOINJECT
0x55555555a1ba,1443,CORRECT
0x7fffe3fa7258,483,NOINJECT
0x7fffe3dc0257,413,NOINJECT
0x7fffe3dbfef4,466,NOINJECT
0x7ffff7fd43d9,1367,CRASH
0x55555555b480,145,CORRECT
0x5555555612fc,600,CORRECT
0x55555556189b,1957,CORRECT
0x7ffff7fcf147,17814,CORRECT
0x555555558f27,3383,CORRECT
0x55555556230c,888,CORRECT
0x555555560525,118,CORRECT
0x55555555c61c,4115,CORRECT
0x7ffff7fce491,1009,CRASH
0x555555562250,3794,CORRECT
0x555555562285,3749,CORRECT
0x555555559166,1659,CORRECT
0x55555555db47,343,CORRECT
0x7ffff7fcf147,12242,CORRECT
0x7ffff7fce491,183,CRASH
0x555555559343,408,NOINJECT
0x55555555bb3d,1306,NOINJECT
0x55555555ad39,150,CRASH
0x5555555603b5,498,CORRECT
0x555555560e5d,463,CORRECT
0x55555555c9d2,7088,CORRECT
0x5555555592f0,46,NOINJECT
0x7fffe40033d2,1474,NOINJECT
0x7fffe3fa5f97,173,NOINJECT
0x55555555a30d,1394,CORRECT
0x7fffe3dbd749,4561,NOINJECT
0x7fffe3dbfb5d,168,NOINJECT
0x555555560055,313,NOINJECT
0x55555555d41d,568,NOINJECT
0x5555555591de,213,CORRECT
0x555555561ab7,1173,CORRECT
0x555555559175,3319,CORRECT
0x555555558e21,1355,CORRECT
0x555555559011,3298,CORRECT
0x7fffe3dc025a,1440,NOINJECT
0x555555558e0e,106,CORRECT
0x555555560e54,665,CORRECT
0x555555559dbb,995,CORRECT
0x555555558ec0,807,CORRECT
0x555555560b7a,733,CORRECT
0x5555555590a0,1100,CORRECT
0x555555562363,3824,CORRECT
0x555555559274,603,NOINJECT
0x55555555bcf3,2479,CORRECT
0x55555555bb07,350,CRASH
0x555555558fc9,3005,CORRECT
0x5555555610c3,414,CORRECT
0x5555555590f3,365,CORRECT
0x7fffe3dbe6fb,2485,NOINJECT
0x55555556142c,1171,CORRECT
0x555555559442,736,CORRECT
0x55555555923d,1660,CORRECT
0x7ffff7fcf154,23237,CRASH
0x555555561829,520,CORRECT
0x55555555acc2,821,NOINJECT
0x555555561b1d,128,CORRECT
0x55555555d545,795,CORRECT
0x7fffe3fa5e55,278,NOINJECT
0x555555561160,266,CORRECT
0x555555559930,531,NOINJECT
0x55555555cf95,544,CORRECT
0x555555559f6c,1384,CORRECT
0x7ffff7fea266,2046,NOINJECT
0x7ffff7fd441b,69,CRASH
0x5555555599be,691,CORRECT
0x7fffe3dbfb95,149,NOINJECT
0x7fffe4003504,1664,NOINJECT
0x7fffe3dc0e15,654,NOINJECT
0x555555558b9b,1480,CORRECT
0x55555555c9a0,566,CORRECT
0x7fffe3fa5dd0,304,NOINJECT
0x55555555d04b,2132,CRASH
0x55555556130c,912,CORRECT
0x55555556104e,470,SDC
0x55555555d533,5608,CRASH
0x7fffe3dc0638,1183,NOINJECT
0x7fffe3fa72af,1937,NOINJECT
0x555555558fbb,851,CORRECT
0x55555555c19a,4032,CRASH
0x55555555cbb6,1023,CORRECT
0x55555555ab34,338,CORRECT
0x555555559ef8,261,CORRECT
0x55555555d008,441,CORRECT
0x555555561337,48,CORRECT
0x7fffe3ffdc0e,647,NOINJECT
0x555555561a9e,12,CORRECT
0x55555555a3ea,763,CRASH
0x555555561b5f,3525,CORRECT
0x555555561938,1296,CORRECT
0x55555555af87,516,CORRECT
0x555555565e00,418,NOINJECT
0x7fffe4003624,785,NOINJECT
0x55555555a0b9,1427,CORRECT
0x7fffe3dc145a,732,NOINJECT
0x7fffe3dc0d75,600,NOINJECT
0x7ffff7fcf140,1171,CORRECT
0x55555555c9d2,6046,CORRECT
0x5555555590df,2462,CORRECT
0x5555555584b6,1464,CRASH
0x5555555611a5,478,CORRECT
0x5555555623ef,1245,CORRECT
0x55555555d562,1811,CORRECT
0x555555558fa3,882,CORRECT
0x55555556241c,216,CORRECT
0x555555561010,3323,NOINJECT
0x555555558dd5,548,NOINJECT
0x7fffe3fa5cd2,338,NOINJECT
0x7ffff7fce7a0,967,CORRECT
0x555555559e4d,11,CORRECT
0x55555555bcf3,258,CORRECT
0x555555559149,884,CORRECT
0x7fffe3fa7242,1500,NOINJECT
0x7ffff7fce24f,31,CORRECT
0x555555559cfd,630,CORRECT
0x7fffe3dc0ddc,252,NOINJECT
0x55555555d528,6763,CORRECT
0x5555555612bb,4318,CORRECT
0x7fffe3fa6021,1785,NOINJECT
0x555555561b13,1372,CORRECT
0x5555555605dc,109,CORRECT
0x555555559e4d,905,CORRECT
0x55555555cbdf,1108,CORRECT
0x555555561dca,845,CORRECT
0x555555559c88,653,CORRECT
0x7ffff7fce6f1,25,CORRECT
0x555555565e83,478,CRASH
0x55555555db10,704,CRASH
0x55555555932c,609,CORRECT
0x7fffe3dc0260,1814,NOINJECT
0x555555561083,752,NOINJECT
0x555555558b5e,799,CORRECT
0x555555561a43,3686,CORRECT
0x555555558b9b,1400,CORRECT
0x55555555d549,5945,NOINJECT
0x5555555610e4,4293,NOINJECT
0x555555562097,1612,CORRECT
0x7ffff7fcf156,21949,NOINJECT
0x55555556133b,361,CORRECT
0x55555555d4c9,341,CRASH
0x555555562480,380,CORRECT
0x555555558e12,1193,NOINJECT
0x555555560c1e,517,CORRECT
0x5555555615dc,4186,CORRECT
0x555555561591,2486,CRASH
0x7ffff7fce432,1174,CRASH
0x555555559ae8,530,CORRECT
0x7fffe3ffdb93,1510,NOINJECT
0x7fffe3dbe7d1,1662,NOINJECT
0x555555561d6c,1108,CORRECT
0x55555555bcf3,4600,CORRECT
0x555555560e54,664,CORRECT
0x55555555a3f2,608,NOINJECT
0x55555555baa8,1180,CORRECT
0x7fffe3dbf9bb,1479,NOINJECT
0x555555558f14,1449,CORRECT
0x7fffe3fa76b7,387,NOINJECT
0x7fffe3dbe7d1,1326,NOINJECT
0x555555559198,690,CORRECT
0x7fffe3dbfb45,2171,NOINJECT
0x7ffff7fce6b0,572,CORRECT
