PC,OCC,RESULT
0x555555578409,841107,CRASH
0x555555557f95,131423,SDC
0x555555561bac,27055,CRASH
0x5555555678c2,819,CORRECT
0x555555570e8e,18055,SDC
0x55555555f27c,6248,CRASH
0x55555556fbe2,92676,SDC
0x5555555764b1,15911,NOINJECT
0x555555571475,13504,SDC
0x55555557145d,90940,NOINJECT
0x55555556ec32,15778,NOINJECT
0x55555556ea58,41899,SDC
0x555555562a03,98387,CRASH
0x5555555679ba,8546,SDC
0x55555556f5f8,568591,CORRECT
0x5555555580f9,4208,CORRECT
0x55555556fbea,47833,SDC
0x55555556aef4,17505,SDC
0x555555574a3c,53420,CRASH
0x555555571b9a,53408,SDC
0x555555566f06,341,CORRECT
0x55555556028b,61305,CRASH
0x5555555638c1,2083,SDC
0x555555572756,36442,CORRECT
0x55555555e46c,33369,SDC
0x5555555607c2,356,CRASH
0x555555574c24,4761,CRASH
0x55555556c92e,11222,SDC
0x55555557a45e,145433,CRASH
0x5555555689cf,10156,SDC
0x55555555e607,159496,CRASH
0x555555571282,3523,CRASH
0x555555567647,1000,CORRECT
0x555555561047,11660,CRASH
0x555555570a16,33606,NOINJECT
0x555555573a15,8767,CRASH
0x55555556b22c,33474,CRASH
0x5555555709df,1608,CRASH
0x555555563578,2970,SDC
0x555555571c25,154709,CORRECT
0x5555555701b6,74478,CRASH
0x55555557084f,117476,CORRECT
0x55555556cedd,9298,SDC
0x55555557176e,3613,SDC
0x555555571e15,174652,CRASH
0x555555571b4f,30668,SDC
0x55555557006c,76004,SDC
0x555555574715,59489,SDC
0x555555570a9a,128463,NOINJECT
0x55555556f506,1018606,CORRECT
0x555555565478,47798,CRASH
0x55555556da66,4693,SDC
0x55555555ef7b,60776,CRASH
0x55555555ead9,47882,SDC
0x555555573ac2,38336,CRASH
0x555555561788,49111,CRASH
0x555555571fd0,143526,SDC
0x55555556750a,770,CRASH
0x55555557a404,18564,CRASH
0x5555555610c6,6598,CRASH
0x55555556e4cf,1102,CRASH
0x5555555742c4,10710,SDC
0x555555571d0b,86029,SDC
0x55555556fc29,137255,SDC
0x5555555710b6,4028,CRASH
0x55555556f790,100668,CRASH
0x55555556a4ba,161685,CRASH
0x5555555704ff,47334,CORRECT
0x55555557433b,14484,CRASH
0x555555571056,52803,SDC
0x555555562bed,19119,CRASH
0x5555555716d7,41625,NOINJECT
0x5555555704ff,30005,CORRECT
0x5555555701b1,186442,CORRECT
0x55555557128f,135827,SDC
0x5555555722e2,49076,SDC
0x55555557851d,279875,CRASH
0x555555570a56,86849,CORRECT
0x555555570fec,110608,NOINJECT
0x555555571f78,32559,SDC
0x55555556f5f8,1112250,SDC
0x55555556ff3c,182616,SDC
0x5555555725b4,177926,CORRECT
0x55555556f543,645639,CRASH
0x555555566543,23008,SDC
0x55555556f4f2,999538,CRASH
0x55555557a632,210127,CRASH
0x55555556f51a,1559083,CRASH
0x555555571fb3,75232,SDC
0x55555556cb79,19311,CORRECT
0x555555576427,15015,CRASH
0x55555556496b,12138,CRASH
0x55555557852a,203432,CRASH
0x555555562993,81706,CRASH
0x555555566189,14141,CRASH
0x555555561105,31430,CRASH
